,Node Label,PN incoming Connections,FSI incoming Connections,LTS incoming Connections
0,PN,78,31,26
1,PN,55,35,18
2,PN,84,60,50
3,PN,19,20,12
4,PN,70,49,34
5,PN,53,52,29
6,PN,63,61,49
7,PN,75,50,33
8,PN,63,49,47
9,PN,50,21,21
10,PN,43,29,24
11,PN,57,31,25
12,PN,53,39,34
13,PN,82,54,34
14,PN,43,29,22
15,PN,70,51,33
16,PN,59,35,28
17,PN,50,23,19
18,PN,71,50,30
19,PN,24,14,14
20,PN,36,17,12
21,PN,57,35,31
22,PN,59,52,42
23,PN,76,63,39
24,PN,45,35,34
25,PN,71,65,40
26,PN,45,17,18
27,PN,44,29,16
28,PN,45,46,35
29,PN,39,39,28
30,PN,73,68,36
31,PN,48,35,39
32,PN,75,60,48
33,PN,61,53,36
34,PN,61,56,38
35,PN,36,31,30
36,PN,71,39,28
37,PN,29,24,13
38,PN,69,34,28
39,PN,33,37,18
40,PN,73,57,56
41,PN,70,42,30
42,PN,87,56,43
43,PN,71,53,44
44,PN,65,33,26
45,PN,54,37,27
46,PN,70,69,55
47,PN,61,49,33
48,PN,69,39,30
49,PN,60,27,11
50,PN,33,27,29
51,PN,72,29,16
52,PN,37,33,24
53,PN,82,43,38
54,PN,71,65,50
55,PN,75,74,48
56,PN,74,51,36
57,PN,71,71,44
58,PN,56,48,36
59,PN,54,37,36
60,PN,66,54,43
61,PN,66,58,46
62,PN,65,55,49
63,PN,55,30,25
64,PN,76,50,45
65,PN,37,23,19
66,PN,37,41,30
67,PN,44,45,30
68,PN,49,36,29
69,PN,24,13,11
70,PN,60,45,41
71,PN,64,50,41
72,PN,65,29,24
73,PN,70,26,25
74,PN,30,16,16
75,PN,45,39,28
76,PN,68,53,43
77,PN,73,36,36
78,PN,36,21,25
79,PN,37,42,19
80,PN,55,27,19
81,PN,52,37,18
82,PN,60,40,29
83,PN,69,48,29
84,PN,58,36,23
85,PN,46,49,25
86,PN,55,36,32
87,PN,65,46,37
88,PN,71,44,31
89,PN,66,61,42
90,PN,62,50,25
91,PN,53,38,28
92,PN,57,42,35
93,PN,68,49,44
94,PN,59,42,43
95,PN,70,49,34
96,PN,47,34,13
97,PN,55,50,31
98,PN,66,50,37
99,PN,63,35,31
100,PN,64,30,20
101,PN,82,62,41
102,PN,58,44,24
103,PN,80,55,45
104,PN,64,43,32
105,PN,68,55,44
106,PN,88,51,39
107,PN,61,59,58
108,PN,69,52,43
109,PN,51,34,18
110,PN,48,40,22
111,PN,72,35,21
112,PN,51,48,24
113,PN,72,36,32
114,PN,74,52,41
115,PN,41,55,37
116,PN,68,40,35
117,PN,59,40,21
118,PN,56,32,26
119,PN,30,23,18
120,PN,69,56,49
121,PN,53,27,26
122,PN,45,35,27
123,PN,58,55,35
124,PN,76,71,40
125,PN,44,44,35
126,PN,60,48,29
127,PN,21,12,10
128,PN,75,70,35
129,PN,60,28,19
130,PN,69,44,35
131,PN,73,66,55
132,PN,52,35,21
133,PN,76,35,39
134,PN,54,34,26
135,PN,57,26,28
136,PN,67,61,38
137,PN,50,46,35
138,PN,63,54,27
139,PN,77,49,31
140,PN,66,45,27
141,PN,39,33,24
142,PN,77,43,30
143,PN,45,38,29
144,PN,76,53,42
145,PN,37,28,18
146,PN,67,68,54
147,PN,69,57,55
148,PN,60,34,16
149,PN,75,55,35
150,PN,72,41,43
151,PN,68,65,47
152,PN,69,62,44
153,PN,53,44,27
154,PN,65,45,30
155,PN,75,47,50
156,PN,84,37,29
157,PN,31,22,18
158,PN,73,41,31
159,PN,41,33,24
160,PN,59,30,27
161,PN,67,54,45
162,PN,47,30,23
163,PN,84,66,39
164,PN,81,52,33
165,PN,38,13,14
166,PN,28,23,13
167,PN,44,34,19
168,PN,28,16,15
169,PN,36,33,26
170,PN,61,43,32
171,PN,63,51,32
172,PN,74,65,39
173,PN,72,61,45
174,PN,62,55,44
175,PN,82,62,40
176,PN,33,9,13
177,PN,50,32,33
178,PN,50,32,17
179,PN,74,26,27
180,PN,60,25,23
181,PN,51,18,35
182,PN,72,60,35
183,PN,33,23,17
184,PN,51,37,19
185,PN,60,35,32
186,PN,57,35,29
187,PN,52,29,24
188,PN,75,42,33
189,PN,39,23,9
190,PN,60,34,35
191,PN,80,58,42
192,PN,68,54,46
193,PN,49,46,24
194,PN,51,39,24
195,PN,57,49,39
196,PN,66,40,44
197,PN,84,52,44
198,PN,60,37,38
199,PN,40,22,15
200,PN,25,18,13
201,PN,27,15,20
202,PN,63,39,35
203,PN,70,45,33
204,PN,66,57,37
205,PN,44,26,23
206,PN,69,44,38
207,PN,53,42,32
208,PN,63,46,37
209,PN,75,54,33
210,PN,74,59,52
211,PN,86,44,50
212,PN,48,39,39
213,PN,72,31,27
214,PN,70,52,35
215,PN,66,31,33
216,PN,68,56,25
217,PN,64,77,61
218,PN,58,21,21
219,PN,50,26,18
220,PN,48,49,37
221,PN,79,61,50
222,PN,35,36,16
223,PN,54,55,25
224,PN,56,60,31
225,PN,50,49,34
226,PN,57,31,31
227,PN,47,49,35
228,PN,65,54,38
229,PN,66,52,37
230,PN,45,29,19
231,PN,44,26,11
232,PN,41,38,19
233,PN,47,35,37
234,PN,30,20,5
235,PN,77,64,40
236,PN,64,60,46
237,PN,80,50,32
238,PN,76,42,50
239,PN,83,43,39
240,PN,57,42,35
241,PN,80,57,44
242,PN,54,47,48
243,PN,76,46,51
244,PN,54,33,25
245,PN,79,57,39
246,PN,62,58,34
247,PN,39,27,19
248,PN,26,23,14
249,PN,59,33,26
250,PN,61,34,30
251,PN,30,22,6
252,PN,49,28,20
253,PN,70,53,34
254,PN,77,52,45
255,PN,64,63,49
256,PN,66,61,37
257,PN,78,45,44
258,PN,64,60,46
259,PN,31,37,22
260,PN,69,69,52
261,PN,60,62,61
262,PN,73,69,46
263,PN,44,45,20
264,PN,61,42,29
265,PN,75,36,26
266,PN,50,48,23
267,PN,64,58,36
268,PN,67,34,28
269,PN,28,25,15
270,PN,78,72,46
271,PN,31,30,19
272,PN,70,45,36
273,PN,64,46,26
274,PN,71,43,31
275,PN,69,45,42
276,PN,63,47,38
277,PN,49,29,24
278,PN,68,42,35
279,PN,53,26,25
280,PN,67,42,31
281,PN,71,52,35
282,PN,57,46,47
283,PN,57,47,28
284,PN,61,66,44
285,PN,66,49,36
286,PN,70,59,46
287,PN,69,50,23
288,PN,54,35,23
289,PN,42,35,35
290,PN,80,57,37
291,PN,70,48,41
292,PN,50,26,19
293,PN,79,60,54
294,PN,76,33,14
295,PN,56,32,15
296,PN,75,64,52
297,PN,65,33,24
298,PN,19,21,18
299,PN,53,12,20
300,PN,59,43,33
301,PN,46,46,37
302,PN,63,42,38
303,PN,55,48,27
304,PN,71,67,50
305,PN,51,36,37
306,PN,43,27,25
307,PN,53,32,20
308,PN,66,53,37
309,PN,90,61,51
310,PN,55,33,42
311,PN,78,63,51
312,PN,22,20,21
313,PN,46,36,22
314,PN,64,43,37
315,PN,28,15,12
316,PN,77,56,31
317,PN,68,36,29
318,PN,59,43,27
319,PN,54,50,37
320,PN,74,60,31
321,PN,36,38,21
322,PN,53,37,28
323,PN,66,55,46
324,PN,41,33,25
325,PN,62,66,54
326,PN,31,19,12
327,PN,55,45,30
328,PN,39,27,27
