,Node Label,PN incoming Connections,FSI incoming Connections,LTS incoming Connections
0,PN,6,6,9
1,PN,34,28,16
2,PN,5,3,4
3,PN,36,35,22
4,PN,15,20,12
5,PN,17,22,9
6,PN,6,3,4
7,PN,0,0,0
8,PN,10,11,5
9,PN,30,21,19
10,PN,20,13,15
11,PN,14,14,8
12,PN,5,12,5
13,PN,3,2,3
14,PN,28,28,31
15,PN,1,3,1
16,PN,3,7,0
17,PN,32,22,19
18,PN,0,1,1
19,PN,52,29,22
20,PN,27,37,14
21,PN,24,19,12
22,PN,6,10,8
23,PN,2,8,2
24,PN,22,20,18
25,PN,6,10,6
26,PN,18,24,14
27,PN,26,21,13
28,PN,6,12,9
29,PN,31,28,20
30,PN,2,4,3
31,PN,31,19,14
32,PN,1,3,4
33,PN,2,7,4
34,PN,0,3,1
35,PN,32,28,23
36,PN,5,3,4
37,PN,39,32,25
38,PN,2,1,2
39,PN,29,24,8
40,PN,0,0,0
41,PN,1,1,0
42,PN,2,6,3
43,PN,1,0,0
44,PN,11,12,11
45,PN,20,16,11
46,PN,3,1,2
47,PN,15,11,8
48,PN,0,0,0
49,PN,30,19,12
50,PN,37,36,23
51,PN,4,7,1
52,PN,30,25,18
53,PN,16,11,11
54,PN,0,2,0
55,PN,1,2,1
56,PN,9,12,8
57,PN,1,2,1
58,PN,18,9,10
59,PN,15,16,16
60,PN,6,8,1
61,PN,0,0,1
62,PN,0,6,3
63,PN,24,15,6
64,PN,2,4,3
65,PN,18,30,27
66,PN,28,27,29
67,PN,2,1,2
68,PN,24,30,13
69,PN,46,40,19
70,PN,5,11,4
71,PN,5,9,1
72,PN,12,14,9
73,PN,22,10,13
74,PN,31,24,12
75,PN,23,34,14
76,PN,0,1,5
77,PN,1,1,0
78,PN,47,31,24
79,PN,32,28,24
80,PN,26,16,9
81,PN,29,29,22
82,PN,10,11,9
83,PN,12,22,14
84,PN,18,37,17
85,PN,18,35,18
86,PN,19,13,15
87,PN,2,5,2
88,PN,7,11,6
89,PN,1,3,2
90,PN,18,18,13
91,PN,16,18,12
92,PN,10,13,8
93,PN,2,6,1
94,PN,6,9,4
95,PN,4,10,10
96,PN,23,24,22
97,PN,13,22,16
98,PN,4,11,5
99,PN,15,8,4
100,PN,22,25,20
101,PN,0,1,0
102,PN,24,30,17
103,PN,0,0,0
104,PN,7,17,9
105,PN,0,1,0
106,PN,5,3,5
107,PN,0,0,1
108,PN,0,1,1
109,PN,26,21,16
110,PN,19,30,19
111,PN,3,7,4
112,PN,17,21,9
113,PN,11,11,13
114,PN,5,4,3
115,PN,5,8,6
116,PN,5,6,4
117,PN,26,34,13
118,PN,13,6,3
119,PN,37,28,18
120,PN,4,3,4
121,PN,22,23,13
122,PN,26,26,7
123,PN,2,3,4
124,PN,2,5,2
125,PN,27,27,14
126,PN,10,10,9
