Source,Target,Fraction of connected pairs in possible ones (%),Fraction of connected pairs in all pairs (%)
cortex: PN-0,cortex: PN-0',[4.2774152  0.03316365],[2.04657968 0.01586754]
cortex: PN-0,cortex: PN-1,[1.06402562 1.06684427 0.00730852],[0.5072176  0.50856124 0.00348395]
cortex: PN-0,cortex: PN-2,[1.05754599 1.06556534 0.00777336],[0.51118906 0.5150654  0.00375743]
cortex: PN-1,cortex: PN-1,[4.23691945 0.03349205],[2.01334586 0.01591512]
cortex: PN-1,cortex: PN-2,[1.05397382 1.06213919 0.00801735],[0.50802616 0.51196195 0.00386445]
cortex: PN-2,cortex: PN-2,[4.19431383 0.03248127],[2.05205124 0.01589133]
cortex: FSI,cortex: FSI,[12.09233471  1.06215313],[5.31034483 0.4664442 ]
cortex: LTS,cortex: LTS,5.067772329053943,2.299375
cortex: FSI,cortex: LTS,[11.46197736 17.96464316  4.8975774 ],[5.10583333 8.0025     2.18166667]
cortex: PN,cortex: FSI,[19.07542303 10.86440057  2.73040963],[9.20181354 4.76346105 1.19713921]
cortex: PN,cortex: LTS,[ 9.59962147 17.759853    1.88446734],[4.70474138 7.90994253 0.83931034]
shell: pop_name=='['PN']'&assembly_id=='0',cortex: pop_name=='['PN']'&assembly_id=='0',0.83306756952556,0.08500198176773682
shell: pop_name=='['PN']'&assembly_id=='0',cortex: pop_name=='['PN']'&assembly_id=='1',0.41871855401597075,0.04287752675386444
shell: pop_name=='['PN']'&assembly_id=='0',cortex: pop_name=='['PN']'&assembly_id=='2',0.41823022287242373,0.041811335711454616
shell: pop_name=='['PN']'&assembly_id=='1',cortex: pop_name=='['PN']'&assembly_id=='0',0.40731414168150726,0.04037653586999604
shell: pop_name=='['PN']'&assembly_id=='1',cortex: pop_name=='['PN']'&assembly_id=='1',0.842687686636062,0.08393182718985334
shell: pop_name=='['PN']'&assembly_id=='1',cortex: pop_name=='['PN']'&assembly_id=='2',0.40790548620858963,0.039678953626634955
shell: pop_name=='['PN']'&assembly_id=='2',cortex: pop_name=='['PN']'&assembly_id=='0',0.4105985143320656,0.04080856123662307
shell: pop_name=='['PN']'&assembly_id=='2',cortex: pop_name=='['PN']'&assembly_id=='1',0.41344477276370706,0.0413991280221958
shell: pop_name=='['PN']'&assembly_id=='2',cortex: pop_name=='['PN']'&assembly_id=='2',0.8127240810853703,0.07956797463337298
shell: pop_name=='['FSI']',cortex: pop_name=='['FSI']',4.501712608057413,0.3748148148148148
shell: pop_name=='['LTS']',cortex: pop_name=='['LTS']',3.5611996757633073,0.27458333333333335
shell: pop_name=='['FSI']',cortex: pop_name=='['LTS']',7.702149732003918,0.6187037037037036
shell: pop_name=='['LTS']',cortex: pop_name=='['FSI']',12.218430034129693,0.9612962962962964
shell: pop_name=='['PN']',cortex: pop_name=='['FSI']',9.932794338842763,0.9861941251596423
shell: pop_name=='['FSI']',cortex: pop_name=='['PN']',5.731274930578222,0.4799148573861218
shell: pop_name=='['PN']',cortex: pop_name=='['LTS']',4.824717494941725,0.4661781609195403
shell: pop_name=='['LTS']',cortex: pop_name=='['PN']',9.110558919596027,0.7259099616858238
cortex: FSI Gap,cortex: FSI Gap,19.646174109806484,4.309012345679012
cortex: LTS Gap,cortex: LTS Gap,9.810457876467023,2.225625
