edge_type_id target_query source_query dynamics_params weight_sigma afferent_section_pos model_template syn_weight weight_function sigma_upper_bound afferent_section_id
121 pop_name=='['PN']'&assembly_id=='0' pop_name=='['PN']'&assembly_id=='0' PN2PN.json 0.8 0.4 AMPA_NMDA_STP 1.0 lognormal_weight 3.0 1
122 pop_name=='['PN']'&assembly_id=='1' pop_name=='['PN']'&assembly_id=='0' PN2PN.json 0.8 0.4 AMPA_NMDA_STP 1.0 lognormal_weight 3.0 1
123 pop_name=='['PN']'&assembly_id=='2' pop_name=='['PN']'&assembly_id=='0' PN2PN.json 0.8 0.4 AMPA_NMDA_STP 1.0 lognormal_weight 3.0 1
124 pop_name=='['PN']'&assembly_id=='0' pop_name=='['PN']'&assembly_id=='1' PN2PN.json 0.8 0.4 AMPA_NMDA_STP 1.0 lognormal_weight 3.0 1
125 pop_name=='['PN']'&assembly_id=='1' pop_name=='['PN']'&assembly_id=='1' PN2PN.json 0.8 0.4 AMPA_NMDA_STP 1.0 lognormal_weight 3.0 1
126 pop_name=='['PN']'&assembly_id=='2' pop_name=='['PN']'&assembly_id=='1' PN2PN.json 0.8 0.4 AMPA_NMDA_STP 1.0 lognormal_weight 3.0 1
127 pop_name=='['PN']'&assembly_id=='0' pop_name=='['PN']'&assembly_id=='2' PN2PN.json 0.8 0.4 AMPA_NMDA_STP 1.0 lognormal_weight 3.0 1
128 pop_name=='['PN']'&assembly_id=='1' pop_name=='['PN']'&assembly_id=='2' PN2PN.json 0.8 0.4 AMPA_NMDA_STP 1.0 lognormal_weight 3.0 1
129 pop_name=='['PN']'&assembly_id=='2' pop_name=='['PN']'&assembly_id=='2' PN2PN.json 0.8 0.4 AMPA_NMDA_STP 1.0 lognormal_weight 3.0 1
130 pop_name=='['FSI']' pop_name=='['FSI']' FSI2FSI.json 0.8 0.5 GABA_AB_STP 1.0 lognormal_weight 3.0 0
131 pop_name=='['LTS']' pop_name=='['LTS']' LTS2LTS.json 0.8 0.5 GABA_AB_STP 1.0 lognormal_weight 3.0 0
132 pop_name=='['LTS']' pop_name=='['FSI']' FSI2LTS.json 0.8 0.5 GABA_AB_STP 1.0 lognormal_weight 3.0 0
133 pop_name=='['FSI']' pop_name=='['LTS']' LTS2FSI.json 0.8 0.5 GABA_AB_STP 1.0 lognormal_weight 3.0 0
134 pop_name=='['FSI']' pop_name=='['PN']' PN2FSI.json 0.8 0.5 AMPA_NMDA_STP 1.0 lognormal_weight 3.0 1
135 pop_name=='['PN']' pop_name=='['FSI']' FSI2PN.json 0.8 0.5 GABA_AB_STP 1.0 lognormal_weight 3.0 0
136 pop_name=='['LTS']' pop_name=='['PN']' PN2LTS.json 0.8 0.5 AMPA_NMDA_STP 1.0 lognormal_weight 3.0 1
137 pop_name=='['PN']' pop_name=='['LTS']' LTS2PN.json 0.8 0.8 GABA_AB_STP 1.0 lognormal_weight 3.0 2
