edge_type_id target_query source_query is_gap_junction model_template afferent_section_id afferent_section_pos syn_weight weight_sigma weight_function dynamics_params sigma_upper_bound target_sections
100 pop_name=='['PN']' pop_name=='['PN']' NULL AMPA_NMDA_STP 1 0.4 1.0 0.8 lognormal_weight PN2PN.json 3.0 NULL
101 pop_name=='['FSI']' pop_name=='['FSI']' NULL GABA_AB_STP 0 0.5 1.0 0.8 lognormal_weight FSI2FSI.json 3.0 NULL
102 pop_name=='['LTS']' pop_name=='['LTS']' NULL GABA_AB_STP 0 0.5 1.0 0.8 lognormal_weight LTS2LTS.json 3.0 NULL
103 pop_name=='['LTS']' pop_name=='['FSI']' NULL GABA_AB_STP 0 0.5 1.0 0.8 lognormal_weight FSI2LTS.json 3.0 NULL
104 pop_name=='['FSI']' pop_name=='['LTS']' NULL GABA_AB_STP 0 0.5 1.0 0.8 lognormal_weight LTS2FSI.json 3.0 NULL
105 pop_name=='['FSI']' pop_name=='['PN']' NULL AMPA_NMDA_STP 1 0.5 1.0 0.8 lognormal_weight PN2FSI.json 3.0 NULL
106 pop_name=='['PN']' pop_name=='['FSI']' NULL GABA_AB_STP 0 0.5 1.0 0.8 lognormal_weight FSI2PN.json 3.0 NULL
107 pop_name=='['LTS']' pop_name=='['PN']' NULL AMPA_NMDA_STP 1 0.5 1.0 0.8 lognormal_weight PN2LTS.json 3.0 NULL
108 pop_name=='['PN']' pop_name=='['LTS']' NULL GABA_AB_STP 2 0.8 1.0 0.8 lognormal_weight LTS2PN.json 3.0 NULL
122 pop_name=='FSI' pop_name=='FSI' True NULL 0 0.5 6.6e-05 NULL NULL NULL NULL NULL
123 pop_name=='LTS' pop_name=='LTS' True NULL 0 0.5 0.00076 NULL NULL NULL NULL NULL
